"","gene","direction","gene_name","zf_ensembl_gene_id","zf_refseq_gene_id"
"1","ENSG00000102924","down","CBLN1","ENSTGUG00000024110","CBLN1"
"2","ENSG00000179242","down","CDH4","ENSTGUG00000007909","CDH4"
"3","ENSG00000150394","down","CDH8","ENSTGUG00000009281","CDH8"
"4","ENSG00000114554","down","PLXNA1","ENSTGUG00000008067","PLXNA1"
"5","ENSG00000171033","down","PKIA","ENSTGUG00000025587","PKIA"
"6","ENSG00000187122","down","SLIT1","ENSTGUG00000009734","SLIT1"
"7","ENSG00000042832","down","TG","ENSTGUG00000012562","TG"
"8","ENSG00000221890","down","NPTXR","ENSTGUG00000024678","NPTXR"
"9","ENSG00000131378","down","RFTN1","ENSTGUG00000003139","RFTN1"
"10","ENSG00000170091","down","AC093310.1","ENSTGUG00000000333","NSG2"
"11","ENSG00000103154","down","NECAB2","ENSTGUG00000006806","NECAB2"
"12","ENSG00000162545","down","CAMK2N1","ENSTGUG00000023378","CAMK2N1"
"13","ENSG00000125170","down","DOK4","ENSTGUG00000004974","DOK4"
"14","ENSG00000166257","down","SCN3B","ENSTGUG00000000607","SCN3B"
"15","ENSG00000164076","down","CAMKV","ENSTGUG00000005054","CAMKV"
"16","ENSG00000164600","down","NEUROD6","ENSTGUG00000001910","NEUROD6"
"17","ENSG00000129951","down","AC006273.1","ENSTGUG00000000652","PLPPR3"
"18","ENSG00000146374","down","RSPO3","ENSTGUG00000011771","RSPO3"
"19","ENSG00000144647","down","C3orf39","ENSTGUG00000003854","POMGNT2"
"20","ENSG00000149571","down","KIRREL3","ENSTGUG00000000847","KIRREL3"
"21","ENSG00000162981","down","FAM84A","ENSTGUG00000013091","LRATD1"
"22","ENSG00000139200","down","C12orf53","ENSTGUG00000023446","PIANP"
"23","ENSG00000165434","down","PGM2L1","ENSTGUG00000013456","PGM2L1"
"24","ENSG00000203685","down","C1orf95","ENSTGUG00000019558","STUM"
"25","ENSG00000163932","down","PRKCD","ENSTGUG00000004544","PRKCD"
"26","ENSG00000070808","down","CAMK2A","ENSTGUG00000000887","CAMK2A"
"27","ENSG00000131089","down","ARHGEF9","ENSTGUG00000005598","ARHGEF9"
"28","ENSG00000165985","down","C1QL1","ENSTGUG00000001322","C1QL3"
"29","ENSG00000133424","down","LARGE","ENSTGUG00000010873","LARGE1"
"30","ENSG00000158186","down","MRAS","ENSTGUG00000004727","MRAS"
"31","ENSG00000237515","down","AC092324.1","ENSTGUG00000005074","SHISA9"
"32","ENSG00000152822","down","GRM1","ENSTGUG00000010757","GRM1"
"33","ENSG00000145335","down","SNCA","ENSTGUG00000003065","SNCA"
"34","ENSG00000175274","down","TP53I11","ENSTGUG00000019013","TP53I11"
"35","ENSG00000101958","down","GLRA2","ENSTGUG00000008149","GLRA2"
"36","ENSG00000126733","down","DACH2","ENSTGUG00000002423","DACH2"
"37","ENSG00000154975","down","CA10","ENSTGUG00000009427","CA10"
"38","ENSG00000186642","down","PDE2A","ENSTGUG00000013571","PDE2A"
"39","ENSG00000120215","up","MLANA","ENSTGUG00000025611","MLANA"
"40","ENSG00000102996","up","MMP15","ENSTGUG00000004764","MMP15"
"41","ENSG00000177098","up","SCN4B","ENSTGUG00000000230","SCN4B"
"42","ENSG00000077327","up","SPAG6","ENSTGUG00000001199","SPAG6"
"43","ENSG00000169554","up","ZEB2","ENSTGUG00000011904","ZEB2"
"44","ENSG00000134363","up","FST","ENSTGUG00000002425","FST"
"45","ENSG00000011105","up","TSPAN9","ENSTGUG00000013167","TSPAN9"
"46","ENSG00000104147","up","OIP5","ENSTGUG00000020477","OIP5"
"47","ENSG00000070190","up","DAPP1","ENSTGUG00000003467","DAPP1"
"48","ENSG00000139433","up","GLTP","ENSTGUG00000007421","GLTP"
"49","ENSG00000125772","up","RP5-1022P6.1","ENSTGUG00000002182","GPCPD1"
"50","ENSG00000140451","up","PIF1","ENSTGUG00000007063","PIF1"
"51","ENSG00000134321","up","RSAD2","ENSTGUG00000012992","RSAD2"
"52","ENSG00000256235","up","C5ORF62","ENSTGUG00000028360","SMIM3"
"53","ENSG00000164309","up","CMYA5","ENSTGUG00000028894","CMYA5"
"54","ENSG00000178425","up","NT5DC1","ENSTGUG00000011946","NT5DC1"
"55","ENSG00000177469","up","PTRF","ENSTGUG00000002659","CAVIN1"
"56","ENSG00000029534","up","ANK1","ENSTGUG00000005264","ANK1"
"57","ENSG00000133067","up","LGR6","ENSTGUG00000001222","LGR6"
"58","ENSG00000129422","up","MTUS1","ENSTGUG00000007145","MTUS1"
"59","ENSG00000139190","up","VAMP1","ENSTGUG00000029109","VAMP1"
"60","ENSG00000198336","up","MYL4","ENSTGUG00000025009","LOC100220758"
"61","ENSG00000125844","up","RRBP1","ENSTGUG00000005958","RRBP1"
"62","ENSG00000173848","up","NET1","ENSTGUG00000001945","NET1"
"63","ENSG00000160305","up","DIP2A","ENSTGUG00000011224","DIP2A"
"64","ENSG00000105810","up","CDK6","ENSTGUG00000001494","CDK6"
"65","ENSG00000187479","up","C11orf96","ENSTGUG00000010210","C5H11orf96"
"66","ENSG00000157456","up","CCNB2","ENSTGUG00000005982","CCNB2"
